uri	pub	pub_copy	urlwd	idwd	mplace
http://lkg.org.pl/ns/lkg-core/F11_C443	A Harvest/HBJ Book; A Helen and Kurt Wolff Book; Harсourt Brace Jovanovich	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C0	A Helen and Kurt Wolff Book; A Harvest / HBJ Book; Harcourt Brace Jovanovich	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C444	A Helen and Kurt Wolff Book; A Harvest Book; Harcourt Brace & Company	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C445	A Helen and Kurt Wolff Book; A Harvest/HBJ Book; Harcourt Brace Jovanovich	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C446	A Helen and Kurt Wolff Book; Harcourt Brace & Company	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C447	A Helen and Kurt Wolff Book; Harcourt Brace & Company; A Harvest Book	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C448	A Helen and Kurt Wolff Book; Harcourt Brace Jovanovich	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C449	A Helen and Kurt Wolff Book; Harсourt Brace Jovanovich	Harcourt	https://www.wikidata.org/wiki/Q5654997	Q5654997	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C451	Aargauer Zeitung	Aargauer Zeitung	https://www.wikidata.org/wiki/Q301273	Q301273	Aargau, Switzerland
http://lkg.org.pl/ns/lkg-core/F11_C452	Acta Poloniae Historica	Acta Poloniae Historica	https://www.wikidata.org/wiki/Q9138986	Q9138986	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C1	Adelphi	Adelphi Edizioni	https://www.wikidata.org/wiki/Q355301	Q355301	Milan, Italy
http://lkg.org.pl/ns/lkg-core/F11_C4	Agora	Agora Group	https://www.wikidata.org/wiki/Q18537303	Q18537303	Bucharest, Romania
http://lkg.org.pl/ns/lkg-core/F11_C5	Agora SA	Wydawnictwo Agora	https://www.wikidata.org/wiki/Q43216480	Q43216480	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C6	Akademia Sztuk Pięknych im. Jana Matejki	Jan Matejko Academy of Fine Arts in Krakow	https://www.wikidata.org/wiki/Q414034	Q414034	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C455	Akcent	Wschodnia Fundacja Kultury Akcent	https://www.wikidata.org/wiki/Q9378263	Q9378263	Lublin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C8	Akropolis	Akropolis	https://www.wikidata.org/wiki/Q22809661	Q22809661	Prague, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C456	Akzente	Akzente	https://www.wikidata.org/wiki/Q424509	Q424509	Munich, Germany
http://lkg.org.pl/ns/lkg-core/F11_C10	Alfa Yayınları	Alfa Yayınları	https://www.wikidata.org/wiki/Q131416750	Q131416750	Istanbul, Türkiye
http://lkg.org.pl/ns/lkg-core/F11_C460	Amazing Science Fiction Stories	Amazing Stories	https://www.wikidata.org/wiki/Q991271	Q991271	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C463	Arbeiter-Zeitung	Arbeiter-Zeitung	https://www.wikidata.org/wiki/Q627083	Q627083	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C466	Artes	Artes	https://www.wikidata.org/wiki/Q4797561	Q4797561	Stockholm, Sweden
http://lkg.org.pl/ns/lkg-core/F11_C467	Astronautyka	Astronautyka	https://www.wikidata.org/wiki/Q15511781	Q15511781	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C17	Basic Books	Basic Books	https://www.wikidata.org/wiki/Q4034881	Q4034881	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C18	Beacon Press	Beacon Press	https://www.wikidata.org/wiki/Q4875979	Q4875979	Boston, United States
http://lkg.org.pl/ns/lkg-core/F11_C20	Beltz Verlag	Verlagsgruppe Beltz	https://www.wikidata.org/wiki/Q2516804	Q2516804	Weinheim, Germany
http://lkg.org.pl/ns/lkg-core/F11_C24	Berkley Publishing	Berkley Books	https://www.wikidata.org/wiki/Q2753848	Q2753848	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C472	Berliner Zeitung	Berliner Zeitung	https://www.wikidata.org/wiki/Q10185	Q10185	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C473	Berliner Zeitung am Abend	Berliner Kurier	https://www.wikidata.org/wiki/Q10190	Q10190	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C25	Bernces	Bernces förlag	https://www.wikidata.org/wiki/Q31897809	Q31897809	Malmo, Sweden
http://lkg.org.pl/ns/lkg-core/F11_C477	Bibliotekarz	Q86662985	https://www.wikidata.org/wiki/Q86662985	Q86662985	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C478	Bifrost	Bifrost	https://www.wikidata.org/wiki/Q2902078	Q2902078	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C479	Bild	Bild	https://www.wikidata.org/wiki/Q156203	Q156203	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C27	Bokförlaget Stolpe	Bokförlaget Stolpe	https://www.wikidata.org/wiki/Q108123368	Q108123368	Stockholm, Sweden
http://lkg.org.pl/ns/lkg-core/F11_C28	Bollati Boringhieri	Bollati Boringhieri	https://www.wikidata.org/wiki/Q3641749	Q3641749	Turin, Italy
http://lkg.org.pl/ns/lkg-core/F11_C29	Bollmann Verlag	Bollmann Bildkarten Verlag	https://www.wikidata.org/wiki/Q891464	Q891464	Cologne, Germany
http://lkg.org.pl/ns/lkg-core/F11_C482	Bowling Green	Bowling Green State University	https://www.wikidata.org/wiki/Q895457	Q895457	Bowling Green, United States
http://lkg.org.pl/ns/lkg-core/F11_C31	Bowling Green University Popular Press	Bowling Green State University Popular Press	https://www.wikidata.org/wiki/Q130481450	Q130481450	Bowling Green, United States
http://lkg.org.pl/ns/lkg-core/F11_C483	Britské listy	Britské listy	https://www.wikidata.org/wiki/Q920557	Q920557	Prague, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C484	BruLion	Brulion	https://www.wikidata.org/wiki/Q4978775	Q4978775	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C33	Bruguera	Editorial Bruguera	https://www.wikidata.org/wiki/Q3275000	Q3275000	Barcelona, Spain
http://lkg.org.pl/ns/lkg-core/F11_C34	Buchclub 65	Buchclub 65	https://www.wikidata.org/wiki/Q36581020	Q36581020	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C485	Buchreport	Buchreport	https://www.wikidata.org/wiki/Q998722	Q998722	Dortmund, Germany
http://lkg.org.pl/ns/lkg-core/F11_C487	Börsenblatt für den deutschen Buchhandel	Börsenblatt	https://www.wikidata.org/wiki/Q1019995	Q1019995	Frankfurt am Main, Germany
http://lkg.org.pl/ns/lkg-core/F11_C37	Büchner-Verlag	Büchner-Verlag	https://www.wikidata.org/wiki/Q74445875	Q74445875	Marburg, Germany
http://lkg.org.pl/ns/lkg-core/F11_C491	CHIP Magazyn Komputerowy	Chip	https://www.wikidata.org/wiki/Q48840333	Q48840333	Wroclaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C493	Cadernos de Literatura em Tradução	Cadernos de Literatura em Tradução	https://www.wikidata.org/wiki/Q96698919	Q96698919	São Paulo, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C38	Cahiers Bleus / Librarie Bleue	Cahiers Bleus	https://www.wikidata.org/wiki/Q3231217	Q3231217	Troyes, France
http://lkg.org.pl/ns/lkg-core/F11_C39	Calwer Verlag	Calwer Verlag	https://www.wikidata.org/wiki/Q1027814	Q1027814	Stuttgart, Germany
http://lkg.org.pl/ns/lkg-core/F11_C40	Carl Hanser Verlag	Carl Hanser Verlag	https://www.wikidata.org/wiki/Q896783	Q896783	Munich, Germany
http://lkg.org.pl/ns/lkg-core/F11_C41	Carmel Publishing / הוצאת כרמל	Carmel Publishing House	https://www.wikidata.org/wiki/Q6629012	Q6629012	Jerusalem, Israel
http://lkg.org.pl/ns/lkg-core/F11_C42	Cem Yayınevi	Cem Yayınevi	https://www.wikidata.org/wiki/Q31191750	Q31191750	Istanbul, Türkiye
http://lkg.org.pl/ns/lkg-core/F11_C495	Central Europe Review	Central Europe Review	https://www.wikidata.org/wiki/Q10444862	Q10444862	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C43	Ch. Links Verlag	Ch. Links Verlag	https://www.wikidata.org/wiki/Q1058080	Q1058080	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C496	Chronic Art	Chronic'art	https://www.wikidata.org/wiki/Q2966736	Q2966736	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C497	Cicero	Cicero	https://www.wikidata.org/wiki/Q781987	Q781987	Hamburg, Germany
http://lkg.org.pl/ns/lkg-core/F11_C46	Comma Press	Comma Press	https://www.wikidata.org/wiki/Q5152062	Q5152062	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C47	Commercial Press / 商务印书馆	Commercial Press	https://www.wikidata.org/wiki/Q5152520	Q5152520	Beijing, China
http://lkg.org.pl/ns/lkg-core/F11_C499	Computerworld	Q115931716	https://www.wikidata.org/wiki/Q115931716	Q115931716	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C48	Contact	Contact	https://www.wikidata.org/wiki/Q2277384	Q2277384	Amsterdam, The Netherlands
http://lkg.org.pl/ns/lkg-core/F11_C49	Continuum	Continuum International Publishing Group	https://www.wikidata.org/wiki/Q4036513	Q4036513	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C50	Corian-Verlag Heinrich Wimmer	Corian-Verlag	https://www.wikidata.org/wiki/Q42916739	Q42916739	Meitingen, Germany
http://lkg.org.pl/ns/lkg-core/F11_C502	Courrier International	Courrier international	https://www.wikidata.org/wiki/Q1137712	Q1137712	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C503	Cracovia Leopolis	Cracovia Leopolis	https://www.wikidata.org/wiki/Q110390049	Q110390049	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C51	Czarne	Wydawnictwo Czarne	https://www.wikidata.org/wiki/Q9379195	Q9379195	Wołowiec, Poland
http://lkg.org.pl/ns/lkg-core/F11_C504	Czas Krakowski	Czas Krakowski	https://www.wikidata.org/wiki/Q9198340	Q9198340	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C506	Czerwony Sztandar	Czerwony sztandar (1936)	https://www.wikidata.org/wiki/Q12652052	Q12652052	Vilnius, Lithuania
http://lkg.org.pl/ns/lkg-core/F11_C53	Czytelnik	Czytelnik	https://www.wikidata.org/wiki/Q12016595	Q12016595	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C44	Círculo do Livro	Círculo do Livro	https://www.wikidata.org/wiki/Q10263193	Q10263193	Rio de Janeiro, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C507	Cīņa	Neatkarīgā Rīta Avīze	https://www.wikidata.org/wiki/Q4045103	Q4045103	Riga, Latvia
http://lkg.org.pl/ns/lkg-core/F11_C508	Dadzis	Dadzis	https://www.wikidata.org/wiki/Q5208132	Q5208132	Riga, Latvia
http://lkg.org.pl/ns/lkg-core/F11_C54	Das Neue Berlin	Verlag Das Neue Berlin	https://www.wikidata.org/wiki/Q2516632	Q2516632	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C514	De Revisor	De Revisor	https://www.wikidata.org/wiki/Q2487606	Q2487606	Amsterdam, The Netherlands
http://lkg.org.pl/ns/lkg-core/F11_C515	Dekada Literacka	Dekada Literacka	https://www.wikidata.org/wiki/Q9203384	Q9203384	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C517	Der Abend	Der Abend	https://www.wikidata.org/wiki/Q1192057	Q1192057	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C519	Der Demokrat	Der Demokrat	https://www.wikidata.org/wiki/Q1192866	Q1192866	Rostock, Germany
http://lkg.org.pl/ns/lkg-core/F11_C520	Der Morgen	Buchverlag Der Morgen	https://www.wikidata.org/wiki/Q999158	Q999158	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C521	Der Neue Weg	Der Neue Weg	https://www.wikidata.org/wiki/Q2675036	Q2675036	Halle, Germany
http://lkg.org.pl/ns/lkg-core/F11_C522	Der Spiegel	Der Spiegel	https://www.wikidata.org/wiki/Q131478	Q131478	Hamburg, Germany
http://lkg.org.pl/ns/lkg-core/F11_C523	Der Standard	Der Standard	https://www.wikidata.org/wiki/Q128660	Q128660	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C524	Der Tagesspiegel	Tagesspiegel	https://www.wikidata.org/wiki/Q10189	Q10189	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C525	Detroit	Detroit Publishing Co.	https://www.wikidata.org/wiki/Q3391589	Q3391589	Detroit, United States
http://lkg.org.pl/ns/lkg-core/F11_C56	Deuticke	Deuticke Verlag	https://www.wikidata.org/wiki/Q994470	Q994470	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C58	Deutsche Verlags-Anstalt DVA	Deutsche Verlags-Anstalt	https://www.wikidata.org/wiki/Q1204376	Q1204376	Stuttgart, Germany
http://lkg.org.pl/ns/lkg-core/F11_C59	Deutsches Polen Institut	Deutsches Polen-Institut	https://www.wikidata.org/wiki/Q1205894	Q1205894	Darmstadt, Germany
http://lkg.org.pl/ns/lkg-core/F11_C528	Dialectics and Humanism	Dialectics and humanism	https://www.wikidata.org/wiki/Q27717054	Q27717054	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C529	Dialog	Dialog	https://www.wikidata.org/wiki/Q5270577	Q5270577	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C530	Dialogue and Universalism	Dialogue and Universalism	https://www.wikidata.org/wiki/Q15752637	Q15752637	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C531	Die Furche	Die Furche	https://www.wikidata.org/wiki/Q1212798	Q1212798	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C532	Die Presse	Die Presse Verlags-Gesellschaft	https://www.wikidata.org/wiki/Q59282145	Q59282145	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C533	Die Union	Die Union	https://www.wikidata.org/wiki/Q1217017	Q1217017	Dresden, Germany
http://lkg.org.pl/ns/lkg-core/F11_C534	Die Wahrheit	Q108175854	https://www.wikidata.org/wiki/Q108175854	Q108175854	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C535	Die Welt	Die Welt	https://www.wikidata.org/wiki/Q29872	Q29872	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C536	Die Welt am Sonntag	Die Welt	https://www.wikidata.org/wiki/Q29872	Q29872	Berlin, Germany
http://lkg.org.pl/ns/lkg-core/F11_C537	Die Weltwoche	Die Weltwoche	https://www.wikidata.org/wiki/Q870443	Q870443	
http://lkg.org.pl/ns/lkg-core/F11_C539	Die Zeit	Die Zeit	https://www.wikidata.org/wiki/Q157142	Q157142	Hamburg, Germany
http://lkg.org.pl/ns/lkg-core/F11_C540	Diena	Diena	https://www.wikidata.org/wiki/Q924512	Q924512	Riga, Latvia
http://lkg.org.pl/ns/lkg-core/F11_C542	Discover	Discover	https://www.wikidata.org/wiki/Q733742	Q733742	Waukesha, United States
http://lkg.org.pl/ns/lkg-core/F11_C61	Dom Literatury w Łodzi	Dom Literatury w Łodzi	https://www.wikidata.org/wiki/Q50999267	Q50999267	Lodz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C544	Dom Wydawniczy REBIS	Dom Wydawniczy REBIS	https://www.wikidata.org/wiki/Q9209465	Q9209465	Poznan, Poland
http://lkg.org.pl/ns/lkg-core/F11_C63	Dom Wydawniczy „Rebis”	Dom Wydawniczy REBIS	https://www.wikidata.org/wiki/Q9209465	Q9209465	Poznan, Poland
http://lkg.org.pl/ns/lkg-core/F11_C545	Dookoła Świata	Dookoła Świata	https://www.wikidata.org/wiki/Q16540948	Q16540948	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C546	Dziennik Bałtycki	Dziennik Bałtycki	https://www.wikidata.org/wiki/Q5319798	Q5319798	Gdansk, Poland
http://lkg.org.pl/ns/lkg-core/F11_C547	Dziennik Kijowski	Dziennik Kijowski	https://www.wikidata.org/wiki/Q9248485	Q9248485	Kyiv, Ukraine
http://lkg.org.pl/ns/lkg-core/F11_C549	Dziennik Polski	Dziennik Polski	https://www.wikidata.org/wiki/Q5319799	Q5319799	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C550	Dziennik Polski i Dziennik Żołnierza	Tydzień Polski	https://www.wikidata.org/wiki/Q5319800	Q5319800	London, United Kingdom
http://lkg.org.pl/ns/lkg-core/F11_C551	Dziennik Popularny	Dziennik Popularny	https://www.wikidata.org/wiki/Q9248493	Q9248493	Lodz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C552	Dziennik Wschodni	Dziennik Wschodni	https://www.wikidata.org/wiki/Q9248527	Q9248527	Lublin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C553	Dziennik Zachodni	Dziennik Zachodni	https://www.wikidata.org/wiki/Q4707862	Q4707862	Katowice, Poland
http://lkg.org.pl/ns/lkg-core/F11_C554	Dziennik Związkowy	Dziennik Związkowy	https://www.wikidata.org/wiki/Q5319802	Q5319802	Chicago, United States
http://lkg.org.pl/ns/lkg-core/F11_C555	Dziennik Łódzki	Dziennik Łódzki	https://www.wikidata.org/wiki/Q9248542	Q9248542	Lodz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C557	Dzikie Życie	Dzikie Życie	https://www.wikidata.org/wiki/Q9248911	Q9248911	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C558	ELLE	Elle	https://www.wikidata.org/wiki/Q154020	Q154020	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C560	Echo Krakowa	Echo Krakowa	https://www.wikidata.org/wiki/Q9250208	Q9250208	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C562	Echo dnia	Echo Dnia	https://www.wikidata.org/wiki/Q5332697	Q5332697	Kielce, Poland
http://lkg.org.pl/ns/lkg-core/F11_C563	Econy	Econy	https://www.wikidata.org/wiki/Q1282115	Q1282115	Mainz, Germany
http://lkg.org.pl/ns/lkg-core/F11_C564	Edasi	Edasi	https://www.wikidata.org/wiki/Q25303124	Q25303124	Tartu, Estonia
http://lkg.org.pl/ns/lkg-core/F11_C67	Editora Perspectiva	Perspectiva	https://www.wikidata.org/wiki/Q10348794	Q10348794	São Paulo, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C68	Editori Riuniti	Editori Riuniti	https://www.wikidata.org/wiki/Q3719249	Q3719249	Rome, Italy
http://lkg.org.pl/ns/lkg-core/F11_C70	Editura Muzeul Literaturii Române	Editura Muzeul National al Literaturii Romane	https://www.wikidata.org/wiki/Q52636369	Q52636369	Bucharest, Romania
http://lkg.org.pl/ns/lkg-core/F11_C71	Editura Universităţii din Bucureşti	Editura Universității din București	https://www.wikidata.org/wiki/Q52635598	Q52635598	Bucharest, Romania
http://lkg.org.pl/ns/lkg-core/F11_C567	Ekran	Ekran	https://www.wikidata.org/wiki/Q9251917	Q9251917	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C568	El Cultura	El Cultural	https://www.wikidata.org/wiki/Q5821672	Q5821672	
http://lkg.org.pl/ns/lkg-core/F11_C569	El Péndulo	El Péndulo	https://www.wikidata.org/wiki/Q5823015	Q5823015	Buenos Aires, Argentina
http://lkg.org.pl/ns/lkg-core/F11_C570	El Urogallo. Revista literaria y cultural	El Urogallo	https://www.wikidata.org/wiki/Q28703106	Q28703106	Madrid, Spain
http://lkg.org.pl/ns/lkg-core/F11_C572	Esprit	Esprit	https://www.wikidata.org/wiki/Q1368412	Q1368412	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C573	Etyka	Etyka	https://www.wikidata.org/wiki/Q3561262	Q3561262	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C76	Európa Könyvkiadó	Európa Publishing	https://www.wikidata.org/wiki/Q993013	Q993013	Budapest, Hungary
http://lkg.org.pl/ns/lkg-core/F11_C579	Express Wieczorny	Evening Express	https://www.wikidata.org/wiki/Q9257158	Q9257158	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C580	Extrablatt	Extrablatt	https://www.wikidata.org/wiki/Q1385155	Q1385155	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C581	FES	Friedrich Ebert Foundation	https://www.wikidata.org/wiki/Q836469	Q836469	Bonn, Germany
http://lkg.org.pl/ns/lkg-core/F11_C582	FORVM	FORVM	https://www.wikidata.org/wiki/Q1389409	Q1389409	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C584	Falter	Falter	https://www.wikidata.org/wiki/Q1394979	Q1394979	Vienna, Austria
http://lkg.org.pl/ns/lkg-core/F11_C586	Fantastyka	Fantastyka	https://www.wikidata.org/wiki/Q5434252	Q5434252	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C588	Film	Film	https://www.wikidata.org/wiki/Q1706835	Q1706835	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C590	Filozofia	Filozofia	https://www.wikidata.org/wiki/Q5449209	Q5449209	Bratislava, Slovakia
http://lkg.org.pl/ns/lkg-core/F11_C591	Filozofuj!	Filozofuj!	https://www.wikidata.org/wiki/Q21499691	Q21499691	Lublin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C77	Fischer Taschenbuch Verlag	Fischer-Taschenbuch-Verlag	https://www.wikidata.org/wiki/Q20088183	Q20088183	Frankfurt am Main, Germany
http://lkg.org.pl/ns/lkg-core/F11_C592	Focus	Focus	https://www.wikidata.org/wiki/Q5463907	Q5463907	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C593	Folha de S.Paulo	Folha de S. Paulo	https://www.wikidata.org/wiki/Q1435379	Q1435379	São Paulo, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C594	Forum	Forum	https://www.wikidata.org/wiki/Q9261850	Q9261850	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C80	Francisco Alves	Livraria Francisco Alves	https://www.wikidata.org/wiki/Q10319325	Q10319325	Rio de Janeiro, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C596	Frankfurter Allgemeine Magazin	Frankfurter Allgemeine Zeitung	https://www.wikidata.org/wiki/Q10184	Q10184	Frankfurt am Main, Germany
